asset,alpha,beta,lambda,mean_return,volatility,kurtosis,skew,VaR_95,CVaR_95,vol_cluster,GBM_mean,GBM_vol,GBM_kurtosis,GBM_skew,GBM_VaR,GBM_CVaR,GBM_vol_cluster
SPY,0.1,-0.15,0.05,0.00496609545592013,0.2025433726470827,0.0027240480909402898,-0.00958792564278869,-0.33075007679081997,-0.41427581457463264,0.002587984909650719,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.1,0.003293154569450133,0.2021978871795867,-0.01893806569767209,-0.009473701107342438,-0.33173415385748206,-0.414395042892307,0.0011088247793537942,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.15,0.004783088459118493,0.2040704558485398,-0.010086469337149406,0.008841827931855981,-0.33050620013377074,-0.415457070052151,0.005428185006349951,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.2,0.004431038702973544,0.20452269142234838,-0.007381975264468377,0.0005813860009355588,-0.33254750525147986,-0.4170129509291387,-0.004670723430419067,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.25,0.003924198747296261,0.20450140656302834,-0.025456624874780065,0.006645869266222467,-0.332258986890826,-0.4157209046089086,-0.0010133298814013103,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.3,0.0035878449684195062,0.20514842245360468,0.003391234495705664,0.0036847955654581914,-0.3354118101689388,-0.41973379516290915,-0.00550508500589698,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.35,0.004174285733587117,0.20613443384085994,-0.013573054800430029,0.010451397940283269,-0.3334498177180488,-0.41973474779965525,-0.0005438073580848117,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.39999999999999997,0.005007352839854826,0.20541912178769373,-0.02450761537901025,-0.0027709111850760127,-0.3329016987144181,-0.41854221742015196,0.004926299478745082,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.44999999999999996,0.0034117461648938787,0.20634180840530236,-0.0018121945606965895,0.00018896876678213832,-0.33421042926650035,-0.4217747350780648,-0.0016576525546250051,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.49999999999999994,0.003303546908107903,0.20730918367659212,0.032370340054442615,-0.007728510977367306,-0.33889356032704815,-0.4263246549730333,-0.0031300339202762918,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.5499999999999999,0.003293713439212563,0.20789032893125395,0.008752303592295618,-0.0022862608258768023,-0.3388921665497179,-0.4262307454500029,0.0018567394746429498,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.6,0.0025922575310775775,0.2082255350068193,-0.011649485557412298,0.00012257928273074566,-0.33997908466357973,-0.4267646747649993,0.004934997901289795,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.65,0.003813149386886256,0.20862690698744227,0.026215971883969402,-0.001425171383571015,-0.3402140363280345,-0.42846247585919783,0.0011155518871906263,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.7,0.0032451134919224416,0.20933808481033012,-0.0071982414823730245,0.0005366350038114864,-0.34185200314429354,-0.4281412647589931,-0.0014349014175228654,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.75,0.003568179140111089,0.2102434825517889,0.0025906492691052385,0.005495664029686799,-0.34189778850871405,-0.43029506392343353,-0.0023143268549492336,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.7999999999999999,0.0034985370461254194,0.21087239108502379,0.016930939643648113,0.0056560205536761365,-0.34320118781870385,-0.4309716752719032,-0.00029756121206251805,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.15,0.85,0.0024170674311309085,0.21057514267319064,0.012386050432524165,-0.0180541941071271,-0.3436830919457835,-0.43375823973917366,-0.0003560041633344695,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.05,0.005535303080231526,0.2024530825437037,-0.004455571811121661,0.0056714619081983065,-0.326947001826683,-0.41094509134029134,0.0006809536100787736,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.1,0.005767717915166192,0.20282369258603766,0.012694476511096564,-0.0032956654499160637,-0.3283248502251828,-0.41317899171885947,-0.0013619193328199529,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.15,0.004901523800764519,0.20272105667414447,-0.016978575915984617,0.012077269493556442,-0.32722539246209503,-0.41139799665856264,0.006723744853867012,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
